segment,timestamp_sec,face_count,head_count,head_up_rate
head_detect_seg003,12.0,11,23,0.4348
head_detect_seg003,13.0,12,24,0.4167
head_detect_seg003,14.0,11,24,0.4583
head_detect_seg003,15.0,12,23,0.4348
head_detect_seg003,16.0,13,25,0.4000
head_detect_seg003,17.0,11,22,0.4091
head_detect_seg003,18.0,10,26,0.3077
head_detect_seg003,19.0,13,23,0.4783
head_detect_seg003,20.0,12,24,0.4167
head_detect_seg003,21.0,9,25,0.3200
head_detect_seg003,22.0,10,27,0.3704
head_detect_seg003,23.0,8,27,0.2222
head_detect_seg003,24.0,10,27,0.3704
head_detect_seg003,25.0,12,24,0.5000
head_detect_seg003,26.0,10,27,0.3704
head_detect_seg003,27.0,16,30,0.5333
head_detect_seg003,28.0,9,27,0.3333
head_detect_seg003,29.0,12,28,0.3929
head_detect_seg003,30.0,11,25,0.4400
head_detect_seg003,31.0,12,22,0.5000
head_detect_seg003,32.0,16,23,0.6087
head_detect_seg003,33.0,17,23,0.6957
head_detect_seg003,34.0,16,24,0.6250
head_detect_seg003,35.0,15,24,0.5417
head_detect_seg003,36.0,15,24,0.6250
head_detect_seg003,37.0,18,23,0.6957
head_detect_seg003,38.0,17,26,0.6538
head_detect_seg003,39.0,16,27,0.5185
head_detect_seg003,40.0,11,23,0.4783
head_detect_seg003,41.0,15,24,0.5417
head_detect_seg003,42.0,17,23,0.6522
head_detect_seg003,43.0,12,23,0.5217
head_detect_seg003,44.0,15,23,0.6522
head_detect_seg003,45.0,14,25,0.5600
head_detect_seg003,46.0,14,21,0.6190
head_detect_seg003,47.0,10,23,0.4348
head_detect_seg003,48.0,10,23,0.4348
head_detect_seg003,49.0,12,20,0.5000
head_detect_seg003,50.1,12,21,0.4762
head_detect_seg003,51.1,11,21,0.4762
head_detect_seg003,52.1,11,21,0.5238
head_detect_seg003,53.1,12,24,0.4583
head_detect_seg003,54.1,11,23,0.4348
head_detect_seg003,55.1,11,24,0.4167
head_detect_seg003,56.1,15,25,0.5200
head_detect_seg003,57.1,17,25,0.5600
head_detect_seg003,58.1,13,23,0.5652
head_detect_seg003,59.1,14,26,0.5000
head_detect_seg003,60.1,11,24,0.4583
head_detect_seg003,61.1,12,24,0.4583
head_detect_seg003,62.1,11,25,0.4400
head_detect_seg003,63.1,15,23,0.6087
head_detect_seg003,64.1,13,26,0.4615
head_detect_seg003,65.1,9,25,0.3600
head_detect_seg003,66.1,10,26,0.3846
head_detect_seg003,67.1,11,26,0.3462
head_detect_seg003,68.1,11,25,0.4000
head_detect_seg003,69.1,15,29,0.5172
head_detect_seg003,70.1,12,23,0.4783
head_detect_seg003,71.1,11,24,0.4167
head_detect_seg003,72.1,10,20,0.5000
head_detect_seg003,73.1,12,22,0.5455
head_detect_seg003,74.1,10,24,0.3750
head_detect_seg003,75.1,12,28,0.4286
head_detect_seg003,76.1,11,26,0.3846
head_detect_seg003,77.1,9,26,0.3077
head_detect_seg003,78.1,13,26,0.5000
head_detect_seg003,79.1,10,24,0.4167
head_detect_seg003,80.1,10,23,0.3913
head_detect_seg003,81.1,13,22,0.5455
head_detect_seg003,82.1,12,19,0.5789
head_detect_seg003,83.1,12,21,0.4762
head_detect_seg003,84.1,14,25,0.4800
head_detect_seg003,85.1,11,21,0.5238
head_detect_seg003,86.1,12,21,0.5238
head_detect_seg003,87.1,12,24,0.4583
head_detect_seg003,88.1,10,21,0.3810
head_detect_seg003,89.1,13,24,0.5000
head_detect_seg003,90.1,15,23,0.6087
head_detect_seg003,91.1,13,24,0.5000
head_detect_seg003,92.1,14,25,0.5600
head_detect_seg003,93.1,13,23,0.5652
head_detect_seg003,94.1,8,21,0.3810
head_detect_seg003,95.1,11,22,0.4091
head_detect_seg003,96.1,10,24,0.3750
head_detect_seg003,97.1,9,25,0.3600
head_detect_seg003,98.1,11,25,0.4400
head_detect_seg003,99.1,12,26,0.4615
head_detect_seg003,100.1,10,28,0.3571
head_detect_seg003,101.1,13,25,0.4800
head_detect_seg003,102.1,11,27,0.4074
head_detect_seg003,103.1,10,26,0.3846
head_detect_seg003,104.1,10,24,0.3750
head_detect_seg003,105.1,14,24,0.5000
head_detect_seg003,106.1,13,25,0.4400
head_detect_seg003,107.1,10,24,0.3750
head_detect_seg003,108.1,10,27,0.3704
head_detect_seg003,109.1,13,23,0.4783
head_detect_seg003,110.1,10,22,0.4545
head_detect_seg003,111.1,8,22,0.3182
head_detect_seg003,112.1,12,26,0.4231
head_detect_seg003,113.1,10,26,0.3846
head_detect_seg003,114.1,11,24,0.4583
head_detect_seg003,115.1,8,25,0.3200
